country,code,year,coal price index,oil spot crude price index,Gas price index
Australia,AUS,2018,131.13506,,
Australia,AUS,2019,100,,
Australia,AUS,2020,82.49764,,
Australia,AUS,2021,153.49948,,
Australia,AUS,2022,321.71237,,
Australia,AUS,2023,190.99263,,
Australia,AUS,2024,164.84692,,
Brent,,1976,,19.934412,
Brent,,1977,,21.678673,
Brent,,1978,,21.834412,
Brent,,1979,,49.228657,
Brent,,1980,,57.35816,
Brent,,1981,,55.95652,
Brent,,1982,,51.346687,
Brent,,1983,,46.02046,
Brent,,1984,,44.82128,
Brent,,1985,,42.92128,
Brent,,1986,,22.472935,
Brent,,1987,,28.710287,
Brent,,1988,,23.242031,
Brent,,1989,,28.384909,
Brent,,1990,,36.950024,
Brent,,1991,,31.148943,
Brent,,1992,,30.089808,
Brent,,1993,,26.431215,
Brent,,1994,,24.633991,
Brent,,1995,,26.501368,
Brent,,1996,,32.188606,
Brent,,1997,,29.734339,
Brent,,1998,,19.803064,
Brent,,1999,,27.986166,
Brent,,2000,,44.378128,
Brent,,2001,,38.06833,
Brent,,2002,,38.97062,
Brent,,2003,,44.900246,
Brent,,2004,,59.59299,
Brent,,2005,,84.90983,
Brent,,2006,,101.453804,
Brent,,2007,,112.73701,
Brent,,2008,,151.46411,
Brent,,2009,,96.04534,
Brent,,2010,,123.804436,
Brent,,2011,,173.2668,
Brent,,2012,,173.91171,
Brent,,2013,,169.22217,
Brent,,2014,,154.09613,
Brent,,2015,,81.585884,
Brent,,2016,,68.11054,
Brent,,2017,,84.398,
Brent,,2018,,111.05657,
Brent,,2019,,100,
Brent,,2020,,65.158035,
Brent,,2021,,110.436485,
Brent,,2022,,157.79333,
Brent,,2023,,128.70511,
Brent,,2024,,125.77369,
Colombia,COL,2010,115.519936,,
Colombia,COL,2011,155.54305,,
Colombia,COL,2012,126.849525,,
Colombia,COL,2013,105.70006,,
Colombia,COL,2014,98.0352,,
Colombia,COL,2015,92.28824,,
Colombia,COL,2016,102.662254,,
Colombia,COL,2017,134.1242,,
Colombia,COL,2018,141.94177,,
Colombia,COL,2019,100,,
Colombia,COL,2020,88.10084,,
Colombia,COL,2021,195.85841,,
Colombia,COL,2022,484.54446,,
Colombia,COL,2023,194.83344,,
Colombia,COL,2024,161.73122,,
Dubai,,1973,,4.447426,
Dubai,,1974,,16.344292,
Dubai,,1975,,16.7995,
Dubai,,1976,,18.247528,
Dubai,,1977,,19.424788,
Dubai,,1978,,20.446386,
Dubai,,1979,,46.704517,
Dubai,,1980,,56.024487,
Dubai,,1981,,53.872723,
Dubai,,1982,,49.915817,
Dubai,,1983,,45.174076,
Dubai,,1984,,44.045216,
Dubai,,1985,,43.213287,
Dubai,,1986,,20.562805,
Dubai,,1987,,26.606503,
Dubai,,1988,,20.687159,
Dubai,,1989,,24.466578,
Dubai,,1990,,31.720823,
Dubai,,1991,,26.206987,
Dubai,,1992,,26.960213,
Dubai,,1993,,23.524984,
Dubai,,1994,,23.055319,
Dubai,,1995,,25.247978,
Dubai,,1996,,30.227243,
Dubai,,1997,,28.736992,
Dubai,,1998,,19.307499,
Dubai,,1999,,26.522951,
Dubai,,2000,,41.23118,
Dubai,,2001,,35.762497,
Dubai,,2002,,37.049408,
Dubai,,2003,,41.99129,
Dubai,,2004,,52.604424,
Dubai,,2005,,73.43541,
Dubai,,2006,,96.49775,
Dubai,,2007,,106.61429,
Dubai,,2008,,147.98685,
Dubai,,2009,,95.97694,
Dubai,,2010,,122.0866,
Dubai,,2011,,166.27058,
Dubai,,2012,,171.1846,
Dubai,,2013,,165.54813,
Dubai,,2014,,152.28407,
Dubai,,2015,,80.39625,
Dubai,,2016,,64.39507,
Dubai,,2017,,83.21705,
Dubai,,2018,,110.11679,
Dubai,,2019,,100,
Dubai,,2020,,66.576866,
Dubai,,2021,,108.16811,
Dubai,,2022,,151.28574,
Dubai,,2023,,128.85988,
Dubai,,2024,,124.96221,
Indonesia,IDN,2019,100,,
Indonesia,IDN,2020,89.490005,,
Indonesia,IDN,2021,188.459,,
Indonesia,IDN,2022,252.62929,,
Indonesia,IDN,2023,167.45494,,
Indonesia,IDN,2024,145.49304,,
Japan,JPN,2001,51.230797,,
Japan,JPN,2002,42.782738,,
Japan,JPN,2003,53.844296,,
Japan,JPN,2004,100.87952,,
Japan,JPN,2005,87.840355,,
Japan,JPN,2006,88.64833,,
Japan,JPN,2007,129.92743,,
Japan,JPN,2008,214.59848,,
Japan,JPN,2009,113.61703,,
Japan,JPN,2010,147.43388,,
Japan,JPN,2011,171.44612,,
Japan,JPN,2012,136.33273,,
Japan,JPN,2013,122.422844,,
Japan,JPN,2014,103.481384,,
Japan,JPN,2015,81.68666,,
Japan,JPN,2016,97.402664,,
Japan,JPN,2017,130.52368,,
