year,country,oil production - TWh,gas production - TWh,oil consumption - TWh,gas consumption - TWh,co2,gas_co2,oil_co2,population,gdp,co2_growth_abs,co2_growth_prct,co2_per_unit_energy,total_ghg,cumulative_oil_co2,methane
1965,Africa,1235.101,,341.07257,9.57193,213.634,2.123,75.982,321013569.0,,19.995,10.326,0.437,1867.017,755.493,522.775
1966,Africa,1571.8269,,369.46457,10.6980915,221.082,2.36,83.845,329252360.0,,7.448,3.486,0.437,1869.86,839.338,596.237
1967,Africa,1729.137,,368.28156,10.573844,237.045,2.319,80.898,337851070.0,,15.963,7.22,0.468,1969.387,920.236,627.802
1968,Africa,2216.126,,389.57162,10.717145,257.271,2.364,85.992,346800965.0,,20.226,8.533,0.479,1913.707,1006.227,588.869
1969,Africa,2818.2944,,397.3726,12.520175,277.717,2.89,93.614,356032572.0,,20.445,7.947,0.515,2032.769,1099.841,663.881
1970,Africa,3399.6292,30.07551,434.28757,15.5485,302.406,0.816,98.18,365552194.0,,24.689,8.89,0.521,2112.525,1198.021,706.155
1971,Africa,3181.0298,37.022903,472.22516,18.405264,331.613,1.693,115.056,375326467.0,,29.207,9.658,0.535,2052.459,1313.077,672.358
1972,Africa,3194.1733,65.13485,509.09583,24.670658,351.688,4.414,119.141,385312221.0,,20.075,6.054,0.539,2058.444,1432.218,694.849
1973,Africa,3346.9214,98.32215,549.6427,39.551792,377.821,5.36,128.051,395821972.0,,26.133,7.431,0.543,2109.666,1560.269,726.676
1974,Africa,3085.5674,102.605,570.538,44.518486,388.183,5.111,133.922,406870347.0,,10.362,2.743,0.531,2111.944,1694.191,706.88
1975,Africa,2831.0925,115.33115,598.6075,53.63838,387.017,6.422,143.499,418433494.0,,-1.166,-0.3,0.49,2112.277,1837.69,694.603
1976,Africa,3377.11,137.28214,651.3652,60.98139,419.915,8.885,150.449,430496972.0,,32.898,8.5,0.492,2179.39,1988.139,744.673
1977,Africa,3541.0354,139.97685,692.9117,68.23419,432.919,13.669,159.366,442660474.0,,13.004,3.097,0.484,2292.256,2147.505,780.365
