country,oil consumption - TWh (total),gas consumption - TWh (total)
World,2354050.319,1305694.6882
High-income countries,1554770.025,901757.8157
Europe,654947.2112,454871.697
North America,702672.155,428150.2258
United States,561201.0574,354645.6809
Asia,776395.307,329177.717365
Upper-middle-income countries,573891.858,316012.9946
European Union (27),403929.5093,167675.358
Russia,76754.9398,157827.8831
Lower-middle-income countries,119951.93957,61712.46215
South America,113282.23667,44557.87331
China,171383.76289,44029.2116435
Canada,62894.54526,42997.31749
Iran,36814.384915,41742.4271885
Germany,82659.7524,37967.19474
United Kingdom,57385.38565,36599.20042
Africa,77760.55103,35466.7560115
Japan,116205.3986,33468.24785
Italy,60379.40199,27989.028454
Saudi Arabia,53867.9738,26986.6645503
Ukraine,10943.419089,25127.58186
Mexico,48458.86869,24233.753525
Netherlands,25374.16633,20134.02774
United Arab Emirates,13219.4938762,16896.3522503
Uzbekistan,2985.143277,16577.88309
Argentina,17503.07888,15303.402282000001
Venezuela,14983.91768,14075.228939
Indonesia,27909.007481,13830.1351308
India,66359.1251,13558.7844009
Oceania,28992.83424,13470.395549034
Romania,8426.120048,12323.018111
Egypt,15768.443256,12211.11201692
Malaysia,13205.893383,11822.310726576
Algeria,6874.2748255,11630.2351165
Australia,25148.46314,11533.396996034
South Korea,45642.97549,11488.260799
Thailand,19614.044531,11217.870732
Pakistan,9064.576351,10694.866868000001
Turkey,16074.97398,9632.80260248
Qatar,2734.97179696,8873.9768596
Spain,30195.65047,8658.141766
Brazil,52136.43791,7492.60029292
Poland,12918.92389,6840.1466550000005
Turkmenistan,2365.703901,6383.861459
Bangladesh,2493.119754,5866.3172684
Trinidad and Tobago,1307.878637,5482.956415
Kuwait,7707.962431,5280.812127
Oman,2534.2705,4852.681212
Hungary,4007.553856,4604.540286
Kazakhstan,6159.173914,4420.494951
Azerbaijan,2647.341567,3978.51191
Colombia,7867.874973,3302.705638
Czechia,4628.9343,3171.450993
Iraq,13056.826434,2628.2494671
New Zealand,3092.083686,1867.896124
Vietnam,6685.473814,1771.55231044
Bulgaria,3222.007701,1639.625242
Norway,6253.772289,1481.4171657
Peru,5034.932871,1412.5835966
Denmark,7653.6000619999995,1391.9089513
Israel,6111.145363,1361.798581104
Greece,8331.007,1032.34058385
South Africa,11092.92115,1002.3806136
Ecuador,4348.6414036,198.66603411
