country,oil production - TWh (total),gas production - TWh (total)
World,2300709.028,1274936.077
High-income countries,1235390.1735,858802.9418
Asia,927821.8794,322795.83066
Upper-middle-income countries,870796.122,317386.1188
North America,492437.6256,410289.5581
Europe,447348.2011,412818.6952
United States,318652.3397,314727.50549999997
Saudi Arabia,278546.3826,26941.691551
Africa,225496.5698,63261.431413
Russia,213557.019,225511.632
South America,189314.4549,41719.58391
Lower-middle-income countries,141333.20413,75901.326569
Iran,125364.91066,42907.264538999996
China,93886.72432,31119.191503
Venezuela,92807.69734,13499.344669
Canada,88661.63627,69498.96231
Mexico,80249.01095,17251.89382
Kuwait,76914.9489,4454.628967
Iraq,76247.97706,2095.8830064
United Arab Emirates,73594.59039,16296.726018
Norway,51273.3379573,29426.543922
United Kingdom,46829.2876901,29402.143195
Brazil,41508.69626,5035.9022919
Algeria,40328.02502,31389.014134
Indonesia,39577.30097,27973.0686785
Qatar,26882.56574,30362.43497
Kazakhstan,24581.77862,6706.370158
European Union (27),22559.084749999998,68513.00963
Oman,21936.899225,7197.023115
Egypt,21623.56405,13397.20144292
Argentina,20549.88696,13807.395235
India,18670.428539,9583.3578909
Colombia,17638.66983,3354.34565
Malaysia,15579.50656482,20555.8639396
Australia,14776.0354926,22787.243446
Oceania,14776.0354926,22787.243446
Ecuador,12098.0753245,0.0
Azerbaijan,11607.494879,5171.878833
Romania,5790.949201,10288.709399
Vietnam,5166.930241,1771.55231044
Trinidad and Tobago,4874.63614,8811.196841
Denmark,4495.3335905,2230.3844905
Thailand,4425.2783147,8796.8544031
Peru,4212.454396,2085.4861656
Turkmenistan,3942.500842,22202.887205
Italy,2579.846688,6520.456769
Uzbekistan,1985.722025,19138.5678
Czechia,0.0,0.0
Japan,0.0,0.0
Israel,0.0,1569.3465666040001
Greece,0.0,0.0
Hungary,0.0,0.0
Germany,0.0,7779.525501
Bangladesh,0.0,5538.2810486
Bulgaria,0.0,0.0
New Zealand,0.0,0.0
South Africa,0.0,0.0
Poland,0.0,2391.204272
Pakistan,0.0,9943.654948
Netherlands,0.0,32960.00025
Ukraine,0.0,8129.86458
Turkey,0.0,0.0
South Korea,0.0,0.0
Spain,0.0,0.0
